Video,Channel,Time,Year,Month,Day_week,Date,Hour
" Tester des goûts, en français - FROMAGE",Mini TFO,2019-08-11 16:46:46,2019,August,Sunday,2019-08-11,16
" Tester des goûts, en français - POMME",Mini TFO,2019-08-11 16:45:18,2019,August,Sunday,2019-08-11,16
" ÖYKÜ OYUN PEŞİNDE Kid Play With Colored and Egg, Learn Colors With",Oyuncak Avı,2019-08-11 16:42:01,2019,August,Sunday,2019-08-11,16
 Die Formen auf deutsch auf kindgerechte Weise lernen - Play-Doh - Titounis,Kinderlieder - Titounis,2019-08-11 16:41:24,2019,August,Sunday,2019-08-11,16
 Eiscreme Lied | Und noch viele weitere Kinderlieder | von LittleBabyBum,Little Baby Bum Deutsch,2019-08-11 16:41:20,2019,August,Sunday,2019-08-11,16
 Five Little Lollipops | Nursery Rhymes For Kids And Children,Zoobees Kids ABC TV - Baby Songs & Nursery Rhymes,2019-08-11 16:38:29,2019,August,Sunday,2019-08-11,16
 Hush a Bye Baby | Lullaby for Babies | Infobells,infobells,2019-08-11 16:32:09,2019,August,Sunday,2019-08-11,16
 Yes Yes Playground Song | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,2019-08-11 16:27:56,2019,August,Sunday,2019-08-11,16
" The Wheels on the Bus - Nursery Rhymes for Children, Kids and Toddlers",Katie Cutie Kids TV,2019-08-11 16:25:16,2019,August,Sunday,2019-08-11,16
 아기상어 체조 | Baby Shark Dance | 상어가족 체조 | 핑크퐁 체조 | 핑크퐁! 인기동요,핑크퐁 (인기 동요・동화),2019-08-11 16:25:13,2019,August,Sunday,2019-08-11,16
 Diez en la Cama - Canciones Infantiles | El Reino Infantil,El Reino Infantil,2019-08-11 16:25:10,2019,August,Sunday,2019-08-11,16
 Peek A Boo | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,2019-08-11 16:25:07,2019,August,Sunday,2019-08-11,16
 Swimming Song + More Nursery Rhymes & Kids Songs - CoComelon,Cocomelon - Nursery Rhymes,2019-08-11 16:25:02,2019,August,Sunday,2019-08-11,16
 Junior Dress Up Party! ft. PAW Patrol + Shimmer & Shine 🌟| Jr. Dress Up Ep. 6 | Nick Jr.,Nick Jr.,2019-08-11 16:23:46,2019,August,Sunday,2019-08-11,16
 This Is The Way We Get Dressed | Kids Songs | Super Simple Songs,Super Simple Songs - Kids Songs,2019-08-11 16:22:53,2019,August,Sunday,2019-08-11,16
 This Is The Way | Kids Songs | Super Simple Songs,Super Simple Songs - Kids Songs,2019-08-11 16:22:47,2019,August,Sunday,2019-08-11,16
 Baby Shark | CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,2019-08-11 16:16:00,2019,August,Sunday,2019-08-11,16
 Baby Shark | Kids Songs and Nursery Rhymes | Animal Songs from Bounce Patrol,Bounce Patrol - Kids Songs,2019-08-11 16:14:48,2019,August,Sunday,2019-08-11,16
 Halloween Baby Shark | Kids Songs and Nursery Rhymes | Halloween Songs from Bounce Patrol,Bounce Patrol - Kids Songs,2019-08-11 16:12:49,2019,August,Sunday,2019-08-11,16
 Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children,Pinkfong Baby Shark - Kids' Songs & Stories,2019-08-11 16:08:04,2019,August,Sunday,2019-08-11,16
